sym_idx,demod_I,demod_Q,locked
725,-1800,-1693,1
726,-567,722,1
727,1967,643,1
728,1693,-1801,1
729,703,1899,1
730,-1922,539,1
731,681,1938,1
732,-1842,-670,1
733,-575,-1966,1
734,1963,-589,1
735,-1947,596,1
736,647,584,1
737,1966,-570,1
738,-1897,-1599,1
739,680,-685,1
740,719,-690,1
741,1979,-524,1
742,2016,732,1
743,-1965,-778,1
744,-615,1929,1
745,644,-576,1
746,672,-628,1
747,642,678,1
748,-1936,664,1
749,1929,-613,1
750,1758,1575,1
751,703,-1856,1
752,-618,774,1
753,-1790,-1530,1
754,-1919,-664,1
755,1550,-1742,1
756,-621,-1950,1
757,-584,-1965,1
758,639,1935,1
759,-633,1897,1
760,-1509,1774,1
761,-1847,-627,1
762,1910,641,1
763,-1780,-1475,1
764,-683,-1928,1
765,-646,-1948,1
766,-1517,1683,1
767,637,733,1
768,-620,732,1
769,-1934,-693,1
770,1450,-1779,1
771,-1947,655,1
772,1480,-1710,1
773,-1506,1648,1
774,1510,-1641,1
775,-1950,638,1
776,528,1895,1
777,-780,597,1
778,1639,1488,1
779,-646,-788,1
780,669,583,1
781,616,1980,1
782,-1457,1656,1
783,-647,1939,1
784,-1927,697,1
785,-617,-1954,1
786,-623,649,1
787,-673,-574,1
788,645,-1890,1
789,-1897,-610,1
790,-689,633,1
791,-656,-653,1
792,1993,-582,1
793,1948,715,1
794,668,-695,1
795,599,494,1
796,1501,-1503,1
797,655,-595,1
798,643,-1885,1
799,-1591,-1433,1
800,-613,-715,1
801,748,-1863,1
802,-717,1928,1
803,1966,629,1
804,1943,-624,1
805,-626,672,1
806,1615,1399,1
807,-1425,1571,1
808,-1889,551,1
809,-1447,1499,1
810,707,-1950,1
811,-669,647,1
812,726,-1925,1
813,1341,-1635,1
814,602,-608,1
815,-644,-1920,1
816,-618,558,1
817,716,-647,1
818,1499,1448,1
819,-551,-1975,1
820,1884,650,1
821,-685,652,1
822,1929,-516,1
823,-1452,1474,1
824,-678,1936,1
825,-583,-1841,1
826,1498,-1408,1
827,1886,688,1
828,1900,709,1
829,707,-585,1
830,605,1922,1
831,1945,659,1
832,655,647,1
833,1398,-1523,1
834,-1456,-1447,1
835,-1966,-713,1
836,-1429,1461,1
837,1970,-557,1
838,683,679,1
839,-1462,-1437,1
840,-608,-2001,1
841,1398,-1493,1
842,-1468,1425,1
843,552,747,1
844,594,654,1
845,-1403,1494,1
846,1932,-633,1
847,1943,674,1
848,1419,1462,1
849,-1986,599,1
850,-669,-1938,1
851,-1980,565,1
852,622,-678,1
853,721,688,1
854,2036,-518,1
855,-625,1988,1
856,-627,613,1
857,-1343,-1558,1
858,-596,-737,1
859,1451,1443,1
860,1995,703,1
861,-1426,-1475,1
862,593,729,1
863,-716,1864,1
864,-1881,-700,1
865,1931,-679,1
866,-556,-684,1
867,682,-1857,1
868,-681,1921,1
869,1360,1557,1
870,-637,1916,1
871,-622,-623,1
872,1380,1543,1
873,-1512,1406,1
874,-582,-1962,1
875,728,-559,1
876,1414,1514,1
877,-1854,619,1
878,558,-668,1
879,-793,656,1
880,643,651,1
881,-1884,656,1
882,1921,596,1
883,-1593,1365,1
884,-651,-570,1
885,-1921,570,1
886,-1355,-1631,1
887,1888,651,1
888,584,696,1
889,-1297,-1714,1
890,-659,1862,1
891,-714,-1924,1
892,668,1930,1
893,1966,669,1
894,582,596,1
895,1993,-623,1
896,604,744,1
897,-1983,687,1
898,-1601,1407,1
899,1864,-636,1
900,1616,-1419,1
901,621,635,1
902,-1653,1383,1
903,644,-1931,1
904,2032,699,1
905,-1392,-1675,1
906,595,-632,1
907,-677,-617,1
908,-716,-677,1
909,-670,-2019,1
910,-643,-610,1
911,-676,-1967,1
912,567,779,1
913,671,777,1
914,1932,654,1
915,606,-719,1
916,1937,-709,1
917,-622,1955,1
918,-1963,-649,1
919,-1396,-1778,1
920,-1882,-668,1
921,689,1873,1
922,1437,1747,1
923,1711,-1455,1
924,-1727,1443,1
925,-539,590,1
926,2046,-703,1
927,-607,585,1
928,-597,-805,1
929,1891,-671,1
930,1514,1691,1
931,1483,1766,1
932,652,689,1
933,1736,-1497,1
934,643,-667,1
935,1936,-738,1
936,721,1889,1
937,1925,676,1
938,709,-1921,1
939,-655,635,1
940,624,-1949,1
941,1911,-731,1
942,-1753,1544,1
